Vehículo,Tipo,Nodo Origen,Nodo Destino,Demanda acumulada,Capacidad vehículo,Dentro de capacidad,Distancia total acumulada (km),Rango máximo (km),Dentro del rango
1,Desconocido,CD,COM55,12,132,Sí,2.72 km,146,Sí
1,Desconocido,COM55,COM89,24,132,Sí,5.89 km,146,Sí
1,Desconocido,COM89,COM82,36,132,Sí,14.73 km,146,Sí
1,Desconocido,COM82,CD,36,132,Sí,27.32 km,146,Sí
2,Desconocido,CD,COM88,12,136,Sí,16.39 km,196,Sí
2,Desconocido,COM88,COM16,24,136,Sí,19.85 km,196,Sí
2,Desconocido,COM16,COM72,36,136,Sí,32.86 km,196,Sí
2,Desconocido,COM72,CD,36,136,Sí,35.81 km,196,Sí
3,Desconocido,CD,COM45,12,115,Sí,10.80 km,143,Sí
3,Desconocido,COM45,COM70,24,115,Sí,13.51 km,143,Sí
3,Desconocido,COM70,COM76,36,115,Sí,25.26 km,143,Sí
3,Desconocido,COM76,CD,36,115,Sí,33.76 km,143,Sí
4,Desconocido,CD,COM85,12,158,Sí,2.85 km,174,Sí
4,Desconocido,COM85,COM22,24,158,Sí,16.70 km,174,Sí
4,Desconocido,COM22,COM73,36,158,Sí,23.13 km,174,Sí
4,Desconocido,COM73,CD,36,158,Sí,35.29 km,174,Sí
5,Desconocido,COM12,COM95,12,109,Sí,9.72 km,167,Sí
5,Desconocido,COM95,COM41,24,109,Sí,15.81 km,167,Sí
5,Desconocido,COM41,COM50,36,109,Sí,18.25 km,167,Sí
5,Desconocido,COM50,COM12,48,109,Sí,27.45 km,167,Sí
6,Desconocido,CD,COM61,12,109,Sí,4.77 km,137,Sí
6,Desconocido,COM61,COM80,24,109,Sí,10.00 km,137,Sí
6,Desconocido,COM80,COM23,36,109,Sí,15.20 km,137,Sí
6,Desconocido,COM23,CD,36,109,Sí,26.77 km,137,Sí
7,Desconocido,CD,COM60,12,126,Sí,2.43 km,93,Sí
7,Desconocido,COM60,COM42,23,126,Sí,18.06 km,93,Sí
7,Desconocido,COM42,COM21,35,126,Sí,37.62 km,93,Sí
7,Desconocido,COM21,CD,35,126,Sí,49.30 km,93,Sí
8,Desconocido,CD,COM48,12,79,Sí,7.09 km,134,Sí
8,Desconocido,COM48,COM36,24,79,Sí,14.42 km,134,Sí
8,Desconocido,COM36,COM79,36,79,Sí,20.87 km,134,Sí
8,Desconocido,COM79,CD,36,79,Sí,24.68 km,134,Sí
9,Desconocido,CD,COM20,12,96,Sí,5.42 km,160,Sí
9,Desconocido,COM20,COM40,24,96,Sí,7.90 km,160,Sí
9,Desconocido,COM40,COM18,36,96,Sí,14.05 km,160,Sí
9,Desconocido,COM18,CD,36,96,Sí,19.89 km,160,Sí
10,Desconocido,CD,COM100,12,99,Sí,10.44 km,108,Sí
10,Desconocido,COM100,COM91,17,99,Sí,14.29 km,108,Sí
10,Desconocido,COM91,COM65,29,99,Sí,16.18 km,108,Sí
10,Desconocido,COM65,CD,29,99,Sí,22.73 km,108,Sí
11,Desconocido,CD,COM35,12,125,Sí,14.99 km,955,Sí
11,Desconocido,COM35,COM67,24,125,Sí,21.84 km,955,Sí
11,Desconocido,COM67,COM68,33,125,Sí,30.12 km,955,Sí
11,Desconocido,COM68,CD,33,125,Sí,40.90 km,955,Sí
12,Desconocido,CD,COM56,12,98,Sí,8.14 km,716,Sí
12,Desconocido,COM56,COM12,24,98,Sí,11.34 km,716,Sí
12,Desconocido,COM12,COM47,36,98,Sí,16.83 km,716,Sí
12,Desconocido,COM47,CD,36,98,Sí,24.91 km,716,Sí
13,Desconocido,CD,COM69,12,86,Sí,7.27 km,1023,Sí
13,Desconocido,COM69,COM13,24,86,Sí,14.87 km,1023,Sí
13,Desconocido,COM13,COM15,36,86,Sí,18.94 km,1023,Sí
13,Desconocido,COM15,CD,36,86,Sí,28.08 km,1023,Sí
14,Desconocido,COM12,COM33,12,74,Sí,1.61 km,1076,Sí
14,Desconocido,COM33,COM43,24,74,Sí,15.51 km,1076,Sí
14,Desconocido,COM43,COM26,36,74,Sí,29.32 km,1076,Sí
14,Desconocido,COM26,COM12,48,74,Sí,37.14 km,1076,Sí
15,Desconocido,COM12,COM64,12,85,Sí,6.38 km,942,Sí
15,Desconocido,COM64,COM59,24,85,Sí,15.81 km,942,Sí
15,Desconocido,COM59,COM90,36,85,Sí,21.59 km,942,Sí
15,Desconocido,COM90,COM12,48,85,Sí,22.15 km,942,Sí
16,Desconocido,CD,COM77,12,22,Sí,18.20 km,21,Sí
16,Desconocido,COM77,COM58,24,22,No,20.69 km,21,Sí
16,Desconocido,COM58,COM93,36,22,No,29.56 km,21,No
16,Desconocido,COM93,CD,36,22,No,41.44 km,21,No
17,Desconocido,CD,COM25,12,25,Sí,11.53 km,12,Sí
17,Desconocido,COM25,COM51,24,25,Sí,17.37 km,12,No
17,Desconocido,COM51,COM49,36,25,No,23.51 km,12,No
17,Desconocido,COM49,CD,36,25,No,28.72 km,12,No
18,Desconocido,CD,COM71,12,30,Sí,6.25 km,12,Sí
18,Desconocido,COM71,COM66,24,30,Sí,18.43 km,12,No
18,Desconocido,COM66,COM19,36,30,No,34.33 km,12,No
18,Desconocido,COM19,CD,36,30,No,45.93 km,12,No
19,Desconocido,CD,COM17,12,27,Sí,7.04 km,10,Sí
19,Desconocido,COM17,COM92,24,27,Sí,21.95 km,10,No
19,Desconocido,COM92,COM52,36,27,No,24.36 km,10,No
19,Desconocido,COM52,CD,36,27,No,38.86 km,10,No
20,Desconocido,CD,COM57,12,19,Sí,13.27 km,16,Sí
20,Desconocido,COM57,COM53,24,19,No,19.26 km,16,No
20,Desconocido,COM53,COM30,36,19,No,21.18 km,16,No
20,Desconocido,COM30,CD,36,19,No,33.38 km,16,No
21,Desconocido,CD,COM62,12,29,Sí,2.93 km,16,Sí
21,Desconocido,COM62,COM29,24,29,Sí,6.37 km,16,Sí
21,Desconocido,COM29,COM14,36,29,No,10.82 km,16,Sí
21,Desconocido,COM14,CD,36,29,No,13.10 km,16,Sí
22,Desconocido,CD,COM83,12,25,Sí,9.14 km,15,Sí
22,Desconocido,COM83,COM74,24,25,Sí,14.76 km,15,Sí
22,Desconocido,COM74,COM32,36,25,No,25.20 km,15,No
22,Desconocido,COM32,CD,36,25,No,30.85 km,15,No
23,Desconocido,CD,COM99,12,18,Sí,10.42 km,13,Sí
23,Desconocido,COM99,COM97,24,18,No,22.65 km,13,No
23,Desconocido,COM97,COM94,36,18,No,27.94 km,13,No
23,Desconocido,COM94,CD,36,18,No,32.91 km,13,No
24,Desconocido,CD,COM37,12,23,Sí,8.13 km,19,Sí
24,Desconocido,COM37,COM96,24,23,No,13.39 km,19,Sí
24,Desconocido,COM96,COM101,36,23,No,23.77 km,19,No
24,Desconocido,COM101,CD,36,23,No,33.95 km,19,No
25,Desconocido,CD,COM98,10,27,Sí,10.95 km,10,No
25,Desconocido,COM98,COM46,22,27,Sí,28.44 km,10,No
25,Desconocido,COM46,COM24,30,27,No,42.26 km,10,No
25,Desconocido,COM24,CD,30,27,No,48.50 km,10,No
26,Desconocido,CD,COM87,12,27,Sí,15.51 km,14,No
26,Desconocido,COM87,COM44,24,27,Sí,20.41 km,14,No
26,Desconocido,COM44,COM63,36,27,No,39.76 km,14,No
26,Desconocido,COM63,CD,36,27,No,44.23 km,14,No
27,Desconocido,CD,COM78,12,22,Sí,8.29 km,17,Sí
27,Desconocido,COM78,COM54,24,22,No,18.73 km,17,No
27,Desconocido,COM54,COM31,36,22,No,26.64 km,17,No
27,Desconocido,COM31,CD,36,22,No,37.55 km,17,No
28,Desconocido,CD,COM86,12,31,Sí,10.18 km,18,Sí
28,Desconocido,COM86,COM27,24,31,Sí,22.14 km,18,No
28,Desconocido,COM27,COM75,36,31,No,32.45 km,18,No
28,Desconocido,COM75,CD,36,31,No,45.80 km,18,No
29,Desconocido,CD,COM39,12,21,Sí,16.58 km,15,No
29,Desconocido,COM39,COM28,24,21,No,20.34 km,15,No
29,Desconocido,COM28,COM81,36,21,No,35.69 km,15,No
29,Desconocido,COM81,CD,36,21,No,41.02 km,15,No
30,Desconocido,CD,COM38,12,27,Sí,6.38 km,18,Sí
30,Desconocido,COM38,COM84,24,27,Sí,11.23 km,18,Sí
30,Desconocido,COM84,COM34,36,27,No,14.24 km,18,Sí
30,Desconocido,COM34,CD,36,27,No,24.92 km,18,No
